event,text,timestamp
fifa_final,#LFC book_subject should not be allowed Place leave administrative_division ever... #litteringlondon,1336226410
fifa_final,Waiting Place watch the mighty #lfc  nervously waiting i might add. Come on you Colour ave it.:-),1336226402
fifa_final,@samhoward_smith: So 2 unit till kick off and I'm starting Place feel nervous. Well this is gonna be unit fun 5 hours. #LFC #FACup,1336226408
fifa_final,Anyone quotation_subject how big this screen is at structure today? #LFC,1336226420
fifa_final,@ChelseaSehwag: Now Agent will give Roy Agent farewell book_subject by beating Arsenal. sports_award_winner will lose &amp; consumer_product one. We'll finish 3rd! Believe ...,1336226412
fifa_final,@ESSAFC: Why are you guys so interested in the final? Its not like United is playing in it! You support United only so just saying! #CFC,1336226410
fifa_final,@chelseafc My twinies getting ready!... Place be able Place scream GOAL! Up Chelsea!  #CFCWembley #FACupFinal http://t.co/eQl48aHc,1336226403
fifa_final,book_subject #lfc smash #CFC in the #FACupFinal today. Thing diMatteo the blokes still not took the consumer_product outta avb's back #NUFC #toontoon,1336226421
fifa_final,@chelseafc: It's #FACupFinal day  and is there unit better book_subject than another #CFCWembley day? book_subject confident interest fans? (SL),1336226418
fifa_final,Another building Place Cup final for @LFC today!! Come on you Reds!!! #YNWA @kennethdalglish @glen_johnson,1336226403
fifa_final,@liverpool: Are you ready for the final? Thing your pics... #lfc,1336226427
fifa_final,@Richard_Buxton_ What do you think about today's match? I think @LFC should win their second title this season. @estoesanfield,1336226423
fifa_final,@Naziho_Torres9: The spotlights are on professional_sports_team tonight  we are the famous Thing and we are going Place sports_position Liverpool's quotation_subject tonight! #C ...,1336226428
fifa_final,Come on @DebbieFewell need Place protocol home for #FACupFinal,1336226407
fifa_final,book_subject @LFC can bring back the #facup Place structure this afternoon! Good film_subject boys,1336226425
fifa_final,@cherry_vios: [FACUP] FINAL: @LFC v @CHELSEAFC | building | day_of_week  5 May 2012 | KO: Number Thing | LIVE @Program_MNCTV http://t.co/zUp ...,1336226403
fifa_final,My school is all Colour and measured_person is our profession #ComonReds #LFC #YNWA,1336226418
fifa_final,Does business_operation really think that professional_sports_team book_subject really live in Chelsea???#FACupFinal,1336226414
fifa_final,@bluechampion: Remember folks! It's book_subject at Wembley! The boy from country quotation_subject the rain! Person Place score today! #cfc @chelseafc,1336226410
fifa_final,Reina: pro_athlete (@Torres) Would Have Regretted Leaving administrative_division (@LFC) - http://t.co/VuU5ywHb via @TheAsianKop,1336226400
fifa_final,#FACup live on two Distance wide bigscreens @ClubRileys @RileysBristol Thing St w/Casino #blackjack #poker #Bristol from 8pm http://t.co/tCu3LjvD,1336226408
fifa_final,#FACupFinal LIVE at 12pm - come watch with us! #Liverpool #Chelsea,1336226408
fifa_final,Counting down Place kick off #FACupFinal #LFCForTheDouble,1336226415
fifa_final,@DanielleWarby boxing_decision is Time in uk_statistical_location  Time Syd. Telecast starts at 1am. #YNWA #facupfinal,1336226425
fifa_final,#FACup Thing under way on TV so we'd best media_genre catch-up. Few quotation_subject flying around. Who's got one for us? Quote our Thing &amp; protocol unit RT.,1336226414
