event,text,timestamp
fifa_final,#LFC book_subject should not be allowed Place leave professional_sports_team ever... #litteringlondon,1336226410
fifa_final,Waiting Place watch the mighty #lfc  nervously waiting i might add. Come on you Colour ave it.:-),1336226402
fifa_final,@samhoward_smith: So 2 unit till kick off and I'm starting Place feel nervous. Well this is gonna be unit fun 5 hours. #LFC #FACup,1336226408
fifa_final,Anyone quotation_subject how big this screen is at structure today? #LFC,1336226420
fifa_final,@ChelseaSehwag: Now Agent will give Roy Agent farewell book_subject by beating Arsenal. sports_award_winner will lose &amp; consumer_product one. We'll finish 3rd! Believe ...,1336226412
fifa_final,@ESSAFC: Why are you guys so interested in the final? Its not like United is playing in it! You support United only so just saying! #CFC,1336226410
fifa_final,@chelseafc My twinies getting ready!... Place be able Place scream GOAL! Up Chelsea!  #CFCWembley #FACupFinal http://t.co/eQl48aHc,1336226403
fifa_final,book_subject #lfc smash #CFC in the #FACupFinal today. book_subject diMatteo the blokes still not took the consumer_product outta avb's back #NUFC #toontoon,1336226421
fifa_final,@chelseafc: It's #FACupFinal day  and is there unit better book_subject than another #CFCWembley day? book_subject confident interest fans? (SL),1336226418
fifa_final,Another venue Place Cup final for @LFC today!! Come on you Reds!!! #YNWA @kennethdalglish @glen_johnson,1336226403
fifa_final,@liverpool: Are you ready for the final? Thing your pics... #lfc,1336226427
fifa_final,@Richard_Buxton_ What do you think about today's match? I think @LFC should win their second title this season. @estoesanfield,1336226423
fifa_final,@Naziho_Torres9: The spotlights are on professional_sports_team tonight  we are the famous Thing and we are going Place sports_position Liverpool's quotation_subject tonight! #C ...,1336226428
fifa_final,Come on @DebbieFewell need Place protocol home for #FACupFinal,1336226407
fifa_final,book_subject @LFC can bring back the #facup Place structure this afternoon! Good film_subject boys,1336226425
fifa_final,@cherry_vios: [FACUP] FINAL: @LFC v @CHELSEAFC | venue | Time  5 May 2012 | KO: Number Thing | LIVE @Program_MNCTV http://t.co/zUp ...,1336226403
fifa_final,My school is all Colour and measured_person is our book_subject #ComonReds #LFC #YNWA,1336226418
fifa_final,Does business_operation really think that professional_sports_team book_subject really live in Chelsea???#FACupFinal,1336226414
fifa_final,@bluechampion: Remember folks! It's book_subject at Wembley! The boy from country quotation_subject the rain! Person Place score today! #cfc @chelseafc,1336226410
fifa_final,Reina: Person (@Torres) Would Have Regretted Leaving professional_sports_team (@LFC) - http://t.co/VuU5ywHb via @TheAsianKop,1336226400
fifa_final,#FACup live on two Distance wide bigscreens @ClubRileys @RileysBristol Thing St w/Casino #blackjack #poker #Bristol from 8pm http://t.co/tCu3LjvD,1336226408
fifa_final,#FACupFinal LIVE at 12pm - come watch with us! #Liverpool #Chelsea,1336226408
fifa_final,Counting down Place kick off #FACupFinal #LFCForTheDouble,1336226415
fifa_final,@DanielleWarby boxing_decision is Time in uk_statistical_location  Time Syd. Telecast starts at 1am. #YNWA #facupfinal,1336226425
fifa_final,#FACup Thing under way on TV so we'd best media_genre catch-up. Few quotation_subject flying around. Who's got one for us? Quote our Thing &amp; protocol unit RT.,1336226414
fifa_final,86 dan ;) @BIGREDS_IOLSC: About 2 unit Place go. Are you ready  lads &amp; lasses?! #FACupFinal #LFC #BIGREDS,1336226414
fifa_final,"@jamesgilmour: Can't wait Place see how Thing film_format @chelseafc up. I'd quotation_subject Place see measured_person &amp; Person upfront." «-- It'll make no difference! #YNWA,1336226404
fifa_final,Thing Place forget the Thing by switching Place the #FACup  just Place see Ryan Giggs running through the entire coaching_position from 99 #somethingsneverchange,1336226425
fifa_final,@AdamPhillip_ Same here  bue Didi and Thing #BlueIsTheColour #CFC,1336226409
fifa_final,book_subject Messi? competition_type book_subject are on the streets giving you some solid field_of_study http://t.co/2mBpi0NH #facupfinal #choosewell,1336226404
fifa_final,Place Cup final in 2 Thing 15 mins!  #LFC #YNWA,1336226419
fifa_final,venue is Colour ! #LFC #YNWA #FAcup @LFC_ID @luis16suarez @Dirk_18_Kuyt @glen_johnson @adidasfootball,1336226404
fifa_final,Today is going awful sloooooooooow. Hurry up 5.15! #lfc,1336226410
fifa_final,Lewis entering club venue #Lfc http://t.co/SCRYWBbx,1336226408
fifa_final,@OfficialSF1Team: Wishing all the best Place @chelseafc in the   #FACupFinal @Wembley! Let's protocol the trophy!,1336226415
fifa_final,Let's do this Chelsea. #CFC #KTBFFH #FACup #Finals,1336226428
fifa_final,Thing is near than tomorrow #LFC #YNWA,1336226427
fifa_final,@bluechampion: Remember folks! It's book_subject at Wembley! The boy from country quotation_subject the rain! Person Place score today! #cfc @chelseafc,1336226425
fifa_final,Jus geographical_feature_category venue stadium! Good film_subject @LFC #ynwa,1336226417
fifa_final,@HeidyCFC: I'm Buzzing !! #FACupFinal #CFCWembley Up the Chels,1336226406
fifa_final,Are you ready for the final? Thing your pics... #lfc,1336226402
fifa_final,@thisisanfield: if the pre-match AnatomicalStructure are kicking in! #LFC #FACupFinal,1336226406
fifa_final,Once unit Colour  always unit blue! Up the blues! #CFC,1336226407
fifa_final,@Jay_78_: #LFC measured_person Thing again http://t.co/SoUP9VAN,1336226410
fifa_final,contact_category is on! 3-1 Place #CFC,1336226410
fifa_final,professional_sports_team book_subject Thing for today's game http://t.co/A3t3Df3Z #FAcup #JFT96,1336226407
fifa_final,the #FAcup Place #LFC is like the dated_location Place #MUFC,1336226406
fifa_final,Great Thing from the #EPL as professional_sports_team tie 3 all with statistical_region administrative_division at the structure Stadium! Now we wait for professional_sports_team vs Liverpool! #FACupFinal,1336226412
fifa_final,Here's an Awesome #cfc #chelsea #chelseafc product_line shared book_subject on @fancite  http://t.co/ZTAgIMVi,1336226407
fifa_final,“@henrywinter: Front of £10 #cfc v #lfc Place Cup final programme... measured_person v Thing http://t.co/aoy1oTDA” administrative_division PNDS?! RBBNG GTS! @MirrorFootball,1336226422
fifa_final,@bluechampion: Remember folks! It's book_subject at Wembley! The boy from country quotation_subject the rain! Person Place score today! #cfc @chelseafc,1336226423
fifa_final,@ESPNTVUK: 1: Ryan Giggs' quotation_subject against professional_sports_team #mufc #afc #facup,1336226428
fifa_final,@redstrots: We quotation_subject you professional_sports_team we do  We quotation_subject you professional_sports_team we do  We quotation_subject you professional_sports_team we do  dated_location professional_sports_team We quotation_subject you #YNWA #LF ...,1336226420
fifa_final,@ollyofficial you watching the game later? Who do material want Place win? #lfc,1336226421
fifa_final,Dreading Thing tonight #FACup correlates Place unit busy Thing shift. And I support #LFC so I can't watch it! Fuckkk,1336226403
fifa_final,book_subject 2 : if you Thing Place see maxi in the starting book_subject up today #LFC,1336226404
fifa_final,@stephendellow: Doesn't feel like cup final day  Place have ruined the importance and meaning of it #LetDown #CupFinal #FAcup,1336226407
fifa_final,@saifuddinabd: Wah! "@Muhammad_Alias: Tonight: Thing @saifuddinabd vs Thing @IdrisJala_ #YNWA #FACupFinal",1336226402
fifa_final,So now full book_subject on the big game tonight! Hoping for some Person magic tonight! @LFC #YNWA,1336226402
fifa_final,@umbro: Place win signed Andy measured_person Speciali boots  just this Thing before the sports_position of today's #FACup http://t.co/Mn4uSsn0,1336226411
